Date,Open,High,Low,Close,Adj Close,Volume
9/30/2021,63.889999,64.769997,62.040001,62.285,61.963402,117312000
10/1/2021,62.625,64.004997,60.419998,63.419998,63.092541,104354000
10/4/2021,62.549999,62.744999,58.235001,59.52,59.212681,128618000
10/5/2021,59.985001,63,59.860001,61.810001,61.490856,81306400
10/6/2021,60.130001,63.16,59.630001,63.029999,62.704556,117495400
10/7/2021,64.660004,66.169998,64.364998,64.735001,64.400757,75407600
10/8/2021,65.334999,65.459999,63.485001,63.740002,63.410892,78566000
10/11/2021,62.93,64.845001,62.27,62.325001,62.003197,68107600
10/12/2021,63.084999,63.310001,61.305,61.689999,61.371475,87201800
10/13/2021,62.889999,63.474998,61.799999,63.134998,62.809013,70460600
10/14/2021,65.055,66.724998,64.699997,66.620003,66.276024,60875000
10/15/2021,67.300003,67.925003,66.709999,67.855003,67.504646,51429000
10/18/2021,67.125,70.010002,66.790001,69.889999,69.529137,50438200
10/19/2021,70.519997,71.514999,70.139999,71.425003,71.056213,53225400
10/20/2021,71.745003,72.110001,70.339996,71.199997,70.832367,59354800
10/21/2021,70.720001,72.605003,70.565002,72.474998,72.100784,46050200
10/22/2021,71.735001,72.330002,69.68,70.639999,70.275261,70124200
10/25/2021,71.495003,73.364998,70.360001,72.760002,72.384323,59475800
10/26/2021,74.160004,75.599998,72.824997,73.440002,73.060806,83987800
10/27/2021,73.779999,75.860001,73.629997,74.019997,73.63781,72534000
10/28/2021,75.154999,76.625,74.699997,76.449997,76.05526,65368800
10/29/2021,74.595001,77.699997,74.389999,77.580002,77.179436,67257200
11/1/2021,77.900002,78.464996,76.589996,78.345001,77.940483,65022800
11/2/2021,78.014999,79.684998,77.980003,79.389999,78.980087,60085600
11/3/2021,79.669998,82.160004,79.035004,81.910004,81.487076,72605200
11/4/2021,82.714996,85.675003,82.364998,84.964996,84.526299,80439800
11/5/2021,86.230003,86.830002,84.364998,85.279999,84.839668,85252800
11/8/2021,85.25,85.949997,84.529999,84.93,84.491478,56459800
11/9/2021,85.625,85.894997,82.285004,83.18,82.750519,88118800
11/10/2021,81.360001,83.199997,78.25,79.535004,79.124336,96976800
11/11/2021,81.375,81.495003,79.949997,80.18,79.766006,57719000
11/12/2021,80.904999,83.035004,79.875,82.724998,82.297867,63820400
11/15/2021,83.455002,83.654999,81.044998,82.699997,82.272987,69729200
11/16/2021,82.144997,84.705002,82.029999,84.410004,83.974167,51590800
11/17/2021,84.605003,85.845001,83.894997,84.510002,84.073654,57968000
11/18/2021,85.839996,87.449997,84.385002,87.095001,86.645302,86841600
11/19/2021,88.214996,89.434998,87.660004,88.57,88.112686,64607200
11/22/2021,89.644997,91.68,85.43,85.5,85.05854,89522400
11/23/2021,84.724998,86.084999,81.394997,84.334999,83.899551,113012800
11/24/2021,82.654999,85.279999,81.165001,85.114998,84.675522,99120800
11/26/2021,83.389999,84.32,79.360001,80.419998,80.004768,88841200
11/29/2021,83.099998,86.080002,82.665001,85.415001,84.973976,79466000
11/30/2021,84.839996,86.394997,80.355003,81.745003,81.322929,151293000
12/1/2021,84.43,85.809998,77.235001,77.550003,77.14959,151275600
12/2/2021,76.709999,80.260002,75.824997,79.010002,78.602051,198216400
12/3/2021,80,80.639999,72.464996,75.040001,74.65255,240286800
12/6/2021,75.294998,77.639999,72.764999,76.794998,76.398483,152414000
12/7/2021,80.885002,84.139999,80.870003,83.720001,83.287727,135289200
12/8/2021,83.945,85,82.735001,84.885002,84.446716,102621800
12/9/2021,84.074997,85.254997,81,81.220001,80.800636,106401000
12/10/2021,82.885002,83.915001,80.889999,83.735001,83.30265,101537600
12/13/2021,83.735001,83.945,79.889999,80.135002,79.721237,89572600
12/14/2021,77.059998,78.779999,74.915001,77.75,77.348549,115466800
12/15/2021,77.480003,83.135002,75.014999,82.894997,82.466988,134530600
12/16/2021,83.504997,83.809998,75.474998,76.57,76.174644,148110000
12/17/2021,74.415001,77.894997,73.5,75.400002,75.010689,150010400
12/20/2021,72.510002,73.625,71.25,73.144997,72.767326,120933000
12/21/2021,75.080002,78.224998,72.855003,78.035004,77.632088,109562400
12/22/2021,77.790001,81,77.410004,80.82,80.402702,88611400
12/23/2021,81.084999,83.644997,80.985001,82.739998,82.312782,65654200
12/27/2021,83.544998,86.764999,83.5,86.695,86.247368,62981600
12/28/2021,87.379997,87.489998,85.014999,85.675003,85.232635,72412600
12/29/2021,85.654999,86.495003,83.974998,85.540001,85.098328,57747400
12/30/2021,85.385002,86.830002,84.385002,84.739998,84.30246,56635800
12/31/2021,84.315002,85.199997,82.855003,83.165001,82.735596,60248600
1/3/2022,83.915001,85.720001,82.559998,85.565002,85.123207,76505200
1/4/2022,85.915001,85.945,80.195,82.239998,81.815369,106648200
1/5/2022,81.190002,81.860001,74.5,74.675003,74.289436,133245200
1/6/2022,73.514999,76.404999,72.209999,74.470001,74.085487,154226600
1/7/2022,74.449997,75.470001,71,72.035004,71.663063,142713400
1/10/2022,69.175003,72.470001,66.050003,72.300003,71.926697,179217400
1/11/2022,71.714996,75.514999,70.519997,75.480003,75.090279,154326800
1/12/2022,76.985001,77.964996,74.940002,76.339996,75.945831,138371200
1/13/2022,77.129997,77.550003,70.019997,70.800003,70.434441,86765900
1/14/2022,69.089996,72.07,69,71.870003,71.498917,89225800
1/18/2022,68.489998,69.720001,66.059998,66.690002,66.345657,77660000
1/19/2022,67.360001,68.709999,64.160004,64.370003,64.037643,91642200
1/20/2022,66.019997,68.18,61.5,61.880001,61.560493,86098500
1/21/2022,60.619999,62.029999,56.5,56.669998,56.377392,171027300
1/24/2022,53.849998,57.75,48.169998,57.490002,57.193161,255084600
1/25/2022,54.150002,56.310001,51.75,53.25,52.975052,173749000
1/26/2022,56.990002,58.849998,51.369999,53.150002,52.875572,207838100
1/27/2022,55.400002,56.240002,51.040001,51.560001,51.293781,161764100
1/28/2022,52.400002,56.459999,50.099998,56.369999,56.078941,167016200
1/31/2022,57.049999,62.060001,56.220001,61.830002,61.510754,113751100
2/1/2022,62.419998,63.349998,59.73,63.009998,62.684658,101845800
2/2/2022,65.220001,65.370003,62.349998,64.5,64.166969,100815200
2/3/2022,59.32,61.07,56.119999,56.740002,56.447037,105575000
2/4/2022,56.869999,60.41,55.889999,58.700001,58.396915,96534400
2/7/2022,59.07,60.27,56.720001,57.369999,57.07378,76956100
2/8/2022,56.799999,59.830002,56.23,59.32,59.013714,79296600
2/9/2022,61.560001,63.080002,60.759998,63,62.674713,75537700
2/10/2022,59.310001,62.91,57.799999,58.82,58.516293,127143300
2/11/2022,58.779999,59.549999,52.560001,53.279999,53.004898,134255600
2/14/2022,52.900002,54.970001,51.700001,53.43,53.154125,95062500
2/15/2022,55.830002,57.439999,55.349998,57.299999,57.004143,81722300
2/16/2022,56.27,57.799999,54.700001,57.290001,56.994194,93090500
2/17/2022,55.639999,56.049999,51.970001,52.209999,51.940422,78835600
2/18/2022,52.59,52.790001,49.310001,50.439999,50.179562,113082700
2/22/2022,49.040001,51.5,47.209999,48.880001,48.627617,131438100
2/23/2022,50.240002,50.630001,44.970001,45.139999,44.906929,130460200
2/24/2022,40.759998,49.849998,40.610001,49.560001,49.304108,194867400
2/25/2022,50,52.009998,48.25,51.91,51.641972,119186100
2/28/2022,50.459999,53.189999,49.919998,52.459999,52.189133,121700500
3/1/2022,51.919998,52.970001,48.849998,50.040001,49.781628,124072500
3/2/2022,50.669998,53.049999,49.419998,52.43,52.159286,109747900
3/3/2022,53.75,53.779999,49.369999,50.240002,49.980598,111944300
3/4/2022,49.169998,49.799999,47,48.09,47.841698,115695500
3/7/2022,48.049999,48.540001,42.630001,42.720001,42.499424,124876300
3/8/2022,42.389999,46,40.77,42.130001,41.912472,177968000
3/9/2022,45.400002,47.200001,44.349998,46.639999,46.399181,109537100
3/10/2022,44.900002,45.619999,43.189999,45.139999,44.906929,112787400
3/11/2022,46.34,46.470001,42.09,42.34,42.121384,98907400
3/14/2022,41.810001,43.130001,39.560001,39.860001,39.65419,123132600
3/15/2022,40.869999,43.889999,40.240002,43.549999,43.325138,105703600
3/16/2022,45.16,48.48,43.689999,48.439999,48.189888,163087500
3/17/2022,47.59,50.189999,47.040001,50.060001,49.801525,96030800
3/18/2022,49.459999,53.41,48.93,53.169998,52.895466,100784800
3/21/2022,52.860001,53.93,50.77,52.790001,52.517429,110547300
3/22/2022,53.07,56.34,52.869999,55.91,55.621319,93344600
3/23/2022,54.560001,56.27,53.5,53.549999,53.273502,102749700
3/24/2022,54.43,57.09,53.41,57.02,56.72559,85575300
3/25/2022,57.040001,57.560001,54.849998,56.93,56.636051,99394700
3/28/2022,56.919998,59.610001,56.330002,59.52,59.212681,91703700
3/29/2022,61.52,62.959999,60.139999,62.57,62.246933,102006700
3/30/2022,61.68,62.540001,59.799999,60.689999,60.376637,83909400
3/31/2022,60.639999,60.830002,57.900002,58.18,57.879601,84049400
4/1/2022,58.43,58.82,56.400002,57.93,57.63089,88081300
4/4/2022,58.380001,61.549999,58.23,61.549999,61.232197,68757500
4/5/2022,60.82,61.16,56.860001,57.48,57.183212,86048800
4/6/2022,54.82,55.369999,52.400002,53.700001,53.422729,148429900
4/7/2022,53.23,55.09,51.580002,54.049999,53.770924,114827000
4/8/2022,53.220001,53.59,51.5,51.84,51.572334,102091200
4/11/2022,49.830002,50.27,47.950001,48.16,47.911335,92957300
4/12/2022,50.16,50.98,46.889999,47.540001,47.294537,123964100
4/13/2022,47.66,50.84,47.330002,50.389999,50.129822,95042300
4/14/2022,50.419998,50.650002,46.830002,47,46.757324,83921800
4/18/2022,46.470001,48.009998,45.82,47.130001,46.886654,87762700
4/19/2022,46.73,50.419998,46.310001,50.16,49.901009,86186300
4/20/2022,50.57,50.740002,47.439999,47.900002,47.652679,107814700
4/21/2022,49.639999,50.77,44.59,45.09,44.857185,134313200
4/22/2022,45.049999,45.57,41.279999,41.509998,41.29567,124412400
4/25/2022,40.810001,43.16,40.310001,43.049999,42.827717,166439400
4/26/2022,42.220001,42.290001,38.099998,38.209999,38.012711,166131600
4/27/2022,38.169998,40.220001,37.369999,38.040001,37.84359,158349300
4/28/2022,39.830002,42.73,38.279999,42.060001,41.842831,172349200
4/29/2022,40.389999,41.77,36.200001,36.529999,36.341385,160058400
5/2/2022,36.25,38.279999,35.130001,38.25,38.052502,155952800
5/3/2022,38.189999,39.169998,37.299999,38.34,38.14204,142782800
5/4/2022,38.490002,42.450001,36.529999,42.139999,41.922417,219403400
5/5/2022,40.5,40.509998,34.52,35.860001,35.674843,227776300
5/6/2022,35.09,36.529999,33.099998,34.610001,34.431297,233397200
5/9/2022,32.560001,33.419998,30.01,30.52,30.362415,210209900
5/10/2022,32.720001,33.080002,30.280001,31.57,31.406994,231789800
5/11/2022,30.85,32.599998,28.469999,28.76,28.611504,264765900
5/12/2022,27.43,29.889999,26.690001,28.530001,28.382692,295496500
5/13/2022,29.85,32,29.379999,31.629999,31.466684,197974000
5/16/2022,31.129999,31.780001,30.18,30.65,30.491745,159194000
5/17/2022,32.43,33.080002,31.24,32.959999,32.789818,153990700
5/18/2022,31.459999,31.690001,27.690001,28.15,28.004652,164052600
5/19/2022,27.540001,29.02,27.040001,27.58,27.437595,196007800
5/20/2022,28.65,28.84,24.93,27.34,27.198835,229055600
5/23/2022,27.65,28.83,26.959999,28.690001,28.541864,170520300
5/24/2022,27.15,27.360001,25.43,26.9,26.761106,183244300
5/25/2022,26.440001,28.6,26.389999,27.98,27.835529,180641900
5/26/2022,27.76,30.780001,27.68,30.32,30.163448,168565800
5/27/2022,31.299999,33.34,31.27,33.290001,33.118114,157517900
5/31/2022,33.299999,34,31.73,33.049999,32.879353,184579300
6/1/2022,33.709999,34.43,31.549999,32.279999,32.113327,199447100
6/2/2022,31.92,34.98,31.450001,34.900002,34.719803,168430700
6/3/2022,33.139999,33.630001,31.76,32.139999,31.974051,162361900
6/6/2022,33.619999,34.130001,32,32.540001,32.371986,150479300
6/7/2022,31.42,33.599998,31.049999,33.330002,33.157909,137443300
6/8/2022,33.080002,33.939999,32.330002,32.650002,32.481419,112853000
6/9/2022,32.07,33.060001,29.93,29.99,29.835152,137979700
6/10/2022,28.26,28.620001,26.67,26.790001,26.651676,171676100
6/13/2022,24.27,24.98,22.82,23.08,22.960831,213365700
6/14/2022,23.639999,23.870001,22.52,23.23,23.110056,196600500
6/15/2022,24.059999,25.92,23.34,24.9,24.771433,274911500
6/16/2022,22.99,23.120001,21.32,21.860001,21.747131,212142200
6/17/2022,22.07,23.280001,21.65,22.67,22.552948,220590500
6/21/2022,23.82,24.98,23.780001,24.379999,24.254118,159204100
6/22/2022,23.709999,25.450001,23.549999,24.290001,24.164583,194486800
6/23/2022,24.940001,25.57,24.17,25.33,25.199213,182686400
6/24/2022,26.110001,28.040001,26.049999,27.98,27.835529,151817500
6/27/2022,28.35,28.5,27,27.32,27.178938,169131000
6/28/2022,27.459999,28.209999,24.76,24.83,24.701796,186870800
6/29/2022,24.780001,25.290001,24.1,24.879999,24.751535,190091100
6/30/2022,24.059999,24.889999,22.75,24,23.87608,256203900
7/1/2022,23.6,24.5,23.1,24.389999,24.264067,208600400
7/5/2022,23.41,25.68,23,25.65,25.517561,220554000
7/6/2022,25.77,26.719999,25.280001,26.139999,26.00503,206122900
7/7/2022,26.379999,28,26.370001,27.76,27.616667,137866300
7/8/2022,26.99,28.309999,26.709999,27.889999,27.745995,159729200
7/11/2022,27.200001,27.27,25.860001,26.110001,25.975187,129224100
7/12/2022,26.440001,26.98,24.91,25.35,25.21911,159616500
7/13/2022,23.84,25.83,23.690001,25.190001,25.059937,180575500
7/14/2022,24.469999,25.68,23.620001,25.450001,25.318594,175823500
7/15/2022,26.27,26.85,25.809999,26.790001,26.651676,154380200
7/18/2022,27.610001,28,25.82,26.17,26.034876,159950200
7/19/2022,27.15,28.620001,26.690001,28.459999,28.313051,149321700
7/20/2022,28.66,30.25,28.440001,29.889999,29.735668,188563100
7/21/2022,30.01,31.18,29.219999,31.16,30.999111,159690900
7/22/2022,30.879999,31.530001,28.950001,29.530001,29.377527,149400400
7/25/2022,29.530001,29.67,28.41,29.09,28.9398,110448800
7/26/2022,28.49,28.57,27.049999,27.33,27.188887,115877800
7/27/2022,28.6,31.25,28.43,30.74,30.58128,170959500
7/28/2022,30.68,31.82,29.52,31.620001,31.456738,162035900
7/29/2022,32.130001,33.650002,31.67,33.360001,33.187752,146073200
8/1/2022,32.779999,34.419998,32.439999,33.310001,33.138012,142641500
8/2/2022,32.540001,34.349998,32.209999,33,32.829609,162687500
8/3/2022,33.549999,35.950001,33.310001,35.639999,35.455978,147106900
8/4/2022,35.689999,36.27,34.959999,36.150002,35.963348,126783600
8/5/2022,34.43,35.98,34.150002,35.290001,35.107788,141949300
8/8/2022,35.599998,36.830002,34.439999,34.93,34.749645,133893900
8/9/2022,34.279999,34.369999,33.189999,33.73,33.55584,109203000
8/10/2022,36.139999,36.639999,35.310001,36.5,36.311539,135777200
8/11/2022,37.330002,38.02,35.669998,35.950001,35.764381,136680500
8/12/2022,36.599998,38.049999,36.240002,37.98,37.783897,105593500
8/15/2022,37.650002,39.080002,37.639999,38.889999,38.689198,98154200
8/16/2022,38.560001,39.380001,37.529999,38.639999,38.440491,110377900
8/17/2022,37.509998,38.330002,36.549999,37.299999,37.107407,131419200
8/18/2022,37.259998,37.959999,36.689999,37.549999,37.356117,96070400
8/19/2022,36.48,36.700001,35.07,35.349998,35.167477,112128300
8/22/2022,33.889999,33.970001,32.259998,32.57,32.401829,112487700
8/23/2022,32.43,33.349998,32.200001,32.459999,32.292397,109754900
8/24/2022,32.299999,33.299999,32.099998,32.709999,32.541107,93502800
8/25/2022,33.279999,34.439999,32.939999,34.43,34.252228,111026300
8/26/2022,34.349998,34.740002,30.200001,30.24,30.08386,183138300
8/29/2022,29.35,30.120001,28.959999,29.309999,29.158663,124220500
8/30/2022,29.790001,29.950001,27.559999,28.33,28.183723,163507400
8/31/2022,29.16,29.4,27.77,27.809999,27.666409,170515300
9/1/2022,27.08,27.93,26.02,27.84,27.696253,198660200
9/2/2022,28.639999,29.040001,26.17,26.68,26.542244,227231500
9/6/2022,26.76,27.02,25.459999,26.07,25.935392,180541700
9/7/2022,26.18,27.9,26.110001,27.610001,27.467442,165784800
9/8/2022,27.030001,28.42,26.639999,28.059999,27.915117,205399900
9/9/2022,28.68,30.02,28.66,29.84,29.685926,149367900
9/12/2022,30.299999,31.030001,30.190001,30.93,30.7703,136570600
9/13/2022,28.24,28.610001,25.559999,25.84,25.706581,195648300
9/14/2022,26.129999,26.67,25.639999,26.42,26.283585,154645900
9/15/2022,25.879999,26.549999,24.65,25.09,24.960453,196865300
9/16/2022,24.209999,24.73,23.67,24.6,24.472982,196071800
9/19/2022,23.940001,25.23,23.92,25.190001,25.059937,151346300
9/20/2022,24.530001,25.190001,23.98,24.59,24.463034,161059300
9/21/2022,24.809999,25.92,23.23,23.24,23.120005,295557600
9/22/2022,22.85,23.110001,22.07,22.379999,22.264444,215542000
9/23/2022,21.799999,21.860001,20.450001,21.309999,21.199968,280652000
9/26/2022,21.16,22.209999,20.83,21.02,20.911469,245303900
9/27/2022,21.82,22.35,20.5,21.040001,20.931364,271960600
9/28/2022,21.030001,22.59,20.68,22.27,22.155014,256019500
9/29/2022,21.309999,21.389999,19.620001,20.389999,20.284719,270097800
9/30/2022,20.16,21.09,19.280001,19.32,19.220245,256598800
10/3/2022,19.700001,21.01,19.360001,20.66,20.553326,223611300
10/4/2022,21.9,22.77,21.889999,22.58,22.463413,231661800
10/5/2022,21.67,23,21.01,22.58,22.463413,229199500
10/6/2022,22.299999,23.059999,21.92,22.01,21.896357,237543600
10/7/2022,20.879999,20.91,19.16,19.5,19.399315,250972600
10/10/2022,19.52,19.610001,18.299999,18.889999,18.792465,206499800
10/11/2022,18.52,19.139999,17.74,18.139999,18.046337,264873500
10/12/2022,18.23,18.639999,17.93,18.1,18.006544,200741900
10/13/2022,16.52,19.620001,16.32,19.309999,19.210297,414753600
10/14/2022,19.85,19.98,17.459999,17.57,17.47928,335066300
10/17/2022,18.809999,19.5,18.799999,19.299999,19.200348,230025400
10/18/2022,20.870001,21,19.17,19.780001,19.67787,346276900
10/19/2022,19.41,20.24,19.01,19.540001,19.43911,259851100
10/20/2022,19.33,20.469999,18.959999,19.209999,19.110811,264851500
10/21/2022,18.98,20.690001,18.73,20.57,20.463791,313729000
10/24/2022,20.629999,21.469999,19.799999,21.27,21.160177,274622000
10/25/2022,21.48,22.639999,21.469999,22.549999,22.433567,238399800
10/26/2022,21.18,22.5,20.93,21.059999,20.95126,279465900
10/27/2022,20.790001,21.120001,19.77,19.9,19.797249,256629400
10/28/2022,19.75,21.809999,19.709999,21.700001,21.587957,255388600
10/31/2022,21.18,21.370001,20.49,20.950001,20.841829,209561100
11/1/2022,21.74,21.870001,20.209999,20.299999,20.195185,215232400
11/2/2022,20.280001,20.98,18.18,18.200001,18.106028,331476300
11/3/2022,17.65,17.950001,17.040001,17.15,17.061449,212231800
11/4/2022,18.129999,18.35,16.85,17.950001,17.857319,382370200
11/7/2022,18.16,18.639999,17.709999,18.52,18.424376,200943400
11/8/2022,18.85,19.620001,18.09,18.92,18.822309,296056300
11/9/2022,18.530001,18.700001,17.530001,17.6,17.509127,215569100
11/10/2022,20.15,21.540001,19.700001,21.450001,21.339249,328442400
11/11/2022,21.43,22.83,21.120001,22.67,22.552948,307134200
11/14/2022,22.17,22.959999,21.82,22.07,21.956045,214225900
11/15/2022,23.65,23.950001,22.18,22.959999,22.84145,318265700
11/16/2022,22.5,22.58,21.82,22.030001,21.916252,191679400
11/17/2022,20.950001,22.209999,20.91,21.860001,21.747131,213462200
11/18/2022,22.559999,22.58,21.280001,21.84,21.727234,194788500
